# 经营范围规范表述目录（征求意见稿）
# 来源：P020210316361615430877.pdf；每行：条目代码	规范表述	对应行业分类	原始监管信息
H2002	餐饮服务	621正餐服务；622快餐服务；623饮料及冷饮服务；629其他 餐饮业 食品经营	餐饮服务 621正餐服务；622快餐服务；623饮料及冷饮服务；629其他 餐饮业 食品经营许可（除仅销售预包装食品 外）;餐饮服务许可;食品经营许可（仅 销售预包装食品）; 食品经营许可（除仅销售预包装食品 外;）餐饮服务许可;食品经营许可 （仅销售预包装食品）;食品经营许可 （仅销售预包装食品）（自贸区适 用） 食品经营许可 （仅销售预包装 食品）（自贸区 适用）; 食品（含保健食品、婴幼 儿配方食品和特殊医学用 途配方食品等特殊食品） 、食品添加剂生产许可； 食品（含保健食品、婴幼
H2003	小餐饮、小食杂、食品小作坊 经营	6291小吃服务 食品小作坊经营	小餐饮、小食杂、食品小作坊 经营 6291小吃服务 食品小作坊经营许可;小餐饮经营许可; 小食杂经营许可; 食品小作坊经营许可;小餐饮经营许 可;小食杂经营许可;
H2004	小餐饮	621正餐服务；622快餐服务；629其他餐饮业；6231茶馆服 务；6232咖啡馆服务；6239其他饮料及冷饮服务 小餐饮经营	小餐饮 621正餐服务；622快餐服务；629其他餐饮业；6231茶馆服 务；6232咖啡馆服务；6239其他饮料及冷饮服务 小餐饮经营许可; 小餐饮经营许可;
H2005	酒吧服务（不含演艺娱乐活 动）	6233酒吧服务 食品经营	酒吧服务（不含演艺娱乐活 动） 6233酒吧服务 食品经营许可（除仅销售预包装食品 外）;餐饮服务许可; 食品经营许可（除仅销售预包装食品 外）;餐饮服务许可; 食品（含保健食品、婴幼 儿配方食品和特殊医学用 途配方食品等特殊食品） 、食品添加剂生产许可； 食品（含保健食品、婴幼
H2006	餐饮服务（不含烧烤）	621正餐服务；622快餐服务；623饮料及冷饮服务；624餐饮 配送及外卖送餐服务；6291小吃服务	餐饮服务（不含烧烤） 621正餐服务；622快餐服务；623饮料及冷饮服务；624餐饮 配送及外卖送餐服务；6291小吃服务
H2007	小餐饮店（三小行业）	629其他餐饮业	小餐饮店（三小行业） 629其他餐饮业
H2008	餐饮服务（不产生油烟、异味 、废气）	621正餐服务；622快餐服务；623饮料及冷饮服务；629其他 餐饮业 餐饮服务	餐饮服务（不产生油烟、异味 、废气） 621正餐服务；622快餐服务；623饮料及冷饮服务；629其他 餐饮业 餐饮服务许可;食品经营许可（除仅销 售预包装食品外）;食品经营许可（仅 销售预包装食品）; 餐饮服务许可;食品经营许可（除仅销 售预包装食品外）;食品经营许可（仅 销售预包装食品）;食品经营许可（仅 销售预包装食品）（自贸区适用） 食品经营许可 （仅销售预包装 食品）（自贸区 适用）; 食品（含保健食品、婴幼 儿配方食品和特殊医学用 途配方食品等特殊食品） 、食品添加剂生产许可； 食品（含保健食品、婴幼
H2009	小餐饮店（三小行业，不产生 油烟、异味、废气)	621正餐服务；622快餐服务；6291小吃服务；6239其他饮料 及冷饮服务；	小餐饮店（三小行业，不产生 油烟、异味、废气) 621正餐服务；622快餐服务；6291小吃服务；6239其他饮料 及冷饮服务；
I1002	广播电视节目传送	632广播电视传输服务；6331广播电视卫星传输服务 跨省经营广播电视节目传送业务	广播电视节目传送 632广播电视传输服务；6331广播电视卫星传输服务 跨省经营广播电视节目传送业务审批; 省级行政区域内经营广播电视节目传送 业务审批; 跨省经营广播电视节目传送业务审批 省级行政区域内经营广播电视节目传 送业务审批 经营广播电视节目传送业 务审批 《外资负面清单》禁止投资各级广播电台（站）、电视台（站）、广播电视频道（率）、广播电视 传输覆盖网（发射台、转播台、广播电视卫星、卫星上行站、卫星收转站、微波站、监测台及有线 广播电视传输覆盖网等），禁止从事广播电视视频点播业务和卫星电视广播地面接收设施安装服务
I1003	广播电视视频点播业务	6321有线广播电视传输服务 广播电视视频点播业务（乙种）	广播电视视频点播业务 6321有线广播电视传输服务 广播电视视频点播业务（乙种）审批; 广播电视视频点播业务（甲种）审批; 广播电视视频点播业务（甲种）审批 （初审）; 广播电视视频点播业务（乙种）审批 广播电视视频点播业务（甲种）审批 广播电视视频点播业务（甲种）审批 （初审） 广播电视视频点播业务审 批 《外资负面清单》禁止投资各级广播电台（站）、电视台（站）、广播电视频道（率）、广播电视 传输覆盖网（发射台、转播台、广播电视卫星、卫星上行站、卫星收转站、微波站、监测台及有线 广播电视传输覆盖网等），禁止从事广播电视视频点播业务和卫星电视广播地面接收设施安装服务 。
I1004	卫星通信服务	6339其他卫星传输服务	卫星通信服务 6339其他卫星传输服务
I1005	卫星导航服务	6339其他卫星传输服务	卫星导航服务 6339其他卫星传输服务
I1006	卫星电视广播地面接收设施安 装服务	6331广播电视卫星传输服务 卫星电视广播地面接收设施安装服务许 可; 卫星电视广播地面接收设施安装服务	卫星电视广播地面接收设施安 装服务 6331广播电视卫星传输服务 卫星电视广播地面接收设施安装服务许 可; 卫星电视广播地面接收设施安装服务 许可 卫星电视广播地面接收设 施的生产、进口、销售、 安装和使用许可；卫星电 《外资负面清单》禁止投资各级广播电台（站）、电视台（站）、广播电视频道（率）、广播电视 传输覆盖网（发射台、转播台、广播电视卫星、卫星上行站、卫星收转站、微波站、监测台及有线 广播电视传输覆盖网等），禁止从事广播电视视频点播业务和卫星电视广播地面接收设施安装服务
I1007	基础电信业务	631电信；633卫星传输服务；64互联网和相关服务；655信息 处理和存储支持服务；657数字内容服务；659其他信息技术 服务业 外商投资经营电信业务（基础电信业 务）	基础电信业务 631电信；633卫星传输服务；64互联网和相关服务；655信息 处理和存储支持服务；657数字内容服务；659其他信息技术 服务业 外商投资经营电信业务（基础电信业 务）审批;试办电信新业务备案核准;电 信业务（基础电信业务）经营许可; 外商投资经营电信业务（基础电信业 务）审批试办电信新业务备案核准电 信业务（基础电信业务）经营许可 经营电信业务，必须依照 相关条例的规定取得国务 院信息产业主管部门或者 省、自治区、直辖市电信 管理机构颁发的电信业务 经营许可证。运用新技术 《外资负面清单》电信公司：限于中国入世承诺开放的电信业务，增值电信业务的外资股比不超过 5%（电子商务、国内多方通信、存储转发类、呼叫中心除外），基础电信业务须由中方控股。
I1008	第一类增值电信业务	631电信；633卫星传输服务；64互联网和相关服务；655信息 处理和存储支持服务；657数字内容服务；659其他信息技术 服务业 试办电信新业务备案核准;电信业务 （第一类增值电信业务）经营	第一类增值电信业务 631电信；633卫星传输服务；64互联网和相关服务；655信息 处理和存储支持服务；657数字内容服务；659其他信息技术 服务业 试办电信新业务备案核准;电信业务 （第一类增值电信业务）经营许可;外 商投资经营电信业务（第一类增值电信 业务）审批; 试办电信新业务备案核准电信业务 （第一类增值电信业务）经营许可外 商投资经营电信业务（第一类增值电 信业务）审批 经营电信业务，必须依照 相关条例的规定取得国务 院信息产业主管部门或者 省、自治区、直辖市电信 管理机构颁发的电信业务 经营许可证。运用新技术 《外资负面清单》电信公司：限于中国入世承诺开放的电信业务，增值电信业务的外资股比不超过 5%（电子商务、国内多方通信、存储转发类、呼叫中心除外），基础电信业务须由中方控股。
I1009	第二类增值电信业务	631电信；633卫星传输服务；64互联网和相关服务；655信息 处理和存储支持服务；657数字内容服务；659其他信息技术 服务业 外商投资经营电信业务（第二类增值电 信业务）	第二类增值电信业务 631电信；633卫星传输服务；64互联网和相关服务；655信息 处理和存储支持服务；657数字内容服务；659其他信息技术 服务业 外商投资经营电信业务（第二类增值电 信业务）审批;试办电信新业务备案核 准;电信业务（第二类增值电信业务） 经营许可; 外商投资经营电信业务（第二类增值 电信业务）审批试办电信新业务备案 核准电信业务（第二类增值电信业 务）经营许可 经营电信业务，必须依照 相关条例的规定取得国务 院信息产业主管部门或者 省、自治区、直辖市电信 管理机构颁发的电信业务 经营许可证。运用新技术 《外资负面清单》电信公司：限于中国入世承诺开放的电信业务，增值电信业务的外资股比不超过 5%（电子商务、国内多方通信、存储转发类、呼叫中心除外），基础电信业务须由中方控股。 I1010 互联网直播服务（不含新闻信 息服务、网络表演、网络视听 节目） 6434互联网公共服务平台；649其他互联网服务； 外商投资经营电信业务（第二类增值电 信业务）审批;电信业务（第二类增值 电信业务）经营许可; 外商投资经营电信业务（第二类增值 电信业务）审批电信业务（第二类增 值电信业务）经营许可 经营电信业务，必须依照 相关条例的规定取得国务 院信息产业主管部门或者 省、自治区、直辖市电信 管理机构颁发的电信业务 经营许可证。运用新技术
